,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Time Stamp,Execution Time,Maximum Routes Time,Total Route Times,Success Rate,Number of Recharges
0,"Atlanta, Georgia, US6",461,1758,286,31,143,93,"10/07/2021, 11:47 PM ET",225.457,122.2,3986.8999993324287,100.0,154
1,"Georgia, US5",133,428,28,31,14,27,"10/07/2021, 7:50 PM ET",0.556,578.2,7251.599999999999,100.0,88
2,"Georgia, US7",290,846,26,31,13,59,"10/07/2021, 10:15 PM ET",0.587,808.1,6043.500000381469,100.0,75
3,"Michigan, US1",288,988,163,31,81,58,"10/07/2021, 10:27 PM ET",345.11,30.7,1359.3000003814702,100.0,61
4,"Minnesota, US0",222,688,115,31,57,45,"10/07/2021, 8:00 PM ET",366.177,28.6,553.900000077486,100.0,14
5,"Montana, US4",75,260,39,31,19,16,"10/07/2021, 7:30 PM ET",4.106,25.2,302.20000000000005,100.0,3
6,"Ohio, US2",192,706,112,31,56,39,"10/07/2021, 8:17 PM ET",29.392,135.8000030517578,4133.400002670287,100.0,93
7,"Pennsylvania, US3",374,1244,81,31,40,75,"10/07/2021, 11:12 PM ET",2.615,449.3,12113.69999923706,100.0,159
